五行,無料(○),アイテム,似合う色,メモ,時間帯,九星タグ,表示文
火,,焚き火の動画を観る時間,オレンジ,,昼・夜,九紫火星,今日は「焚き火の動画を観る時間」を取り入れると、心に小さな灯りを足しやすい日です。
火,,赤縁のメガネ,バーガンディ,,昼・夜,九紫火星,今日は「赤縁のメガネ」を取り入れると、心に小さな灯りを足しやすい日です。
火,,ホットワイン,ワインレッド,,昼・夜,九紫火星,今日は「ホットワイン」を取り入れると、心に小さな灯りを足しやすい日です。
火,,サンセットカラーのスマホケース,サンセットオレンジ,,昼・夜,九紫火星,今日は「サンセットカラーのスマホケース」を取り入れると、心に小さな灯りを足しやすい日です。
火,,柑橘のアロマミスト,マンダリン,,昼・夜,九紫火星,今日は「柑橘のアロマミスト」を取り入れると、心に小さな灯りを足しやすい日です。
火,,赤いブックカバー,カーマイン,,昼・夜,九紫火星,今日は「赤いブックカバー」を取り入れると、心に小さな灯りを足しやすい日です。
火,,チェリー柄の小物,チェリーレッド,,昼・夜,九紫火星,今日は「チェリー柄の小物」を取り入れると、心に小さな灯りを足しやすい日です。
土,○,陶器のマグ,キャメル,,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器のマグ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,○,おにぎり,ライスベージュ,,朝・昼,二黒土星・五黄土星・八白土星,今日は「おにぎり」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,○,黄色い小物,マスタード,,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色い小物」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,○,焼き菓子,きつね色,,朝・昼,二黒土星・五黄土星・八白土星,今日は「焼き菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,○,素焼きの鉢,テラコッタ,,朝・昼,二黒土星・五黄土星・八白土星,今日は「素焼きの鉢」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,テラコッタの植木鉢,テラコッタ,,朝・昼,二黒土星・五黄土星・八白土星,今日は「テラコッタの植木鉢」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,はちみつ,ハニーイエロー,,朝・昼,二黒土星・五黄土星・八白土星,今日は「はちみつ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,ベージュのトートバッグ,ベージュ,,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのトートバッグ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,土鍋で炊いたごはん,生成り,,朝・昼,二黒土星・五黄土星・八白土星,今日は「土鍋で炊いたごはん」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,木綿の靴下,オートミール,,朝・昼,二黒土星・五黄土星・八白土星,今日は「木綿の靴下」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,黄色いマグカップ,マスタードイエロー,,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いマグカップ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,焼きたてのパン,ウィート,,朝・昼,二黒土星・五黄土星・八白土星,今日は「焼きたてのパン」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,革のキーケース,キャメルブラウン,,朝・昼,二黒土星・五黄土星・八白土星,今日は「革のキーケース」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,陶器のアクセサリートレイ,サンドベージュ,,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器のアクセサリートレイ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,さつまいものお菓子,イエローオークル,,朝・昼,二黒土星・五黄土星・八白土星,今日は「さつまいものお菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,ベージュのストール,グレージュ,,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのストール」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,信楽焼の箸置き,土色,,朝・昼,二黒土星・五黄土星・八白土星,今日は「信楽焼の箸置き」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,キャラメルラテ,キャラメル,,朝・昼,二黒土星・五黄土星・八白土星,今日は「キャラメルラテ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,黄土色のニット,マスタード,,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄土色のニット」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
土,,ぬか漬け,ぬか色,,朝・昼,二黒土星・五黄土星・八白土星,今日は「ぬか漬け」を取り入れると、足元の感覚を取り戻しやすいかもしれません。
金,○,シルバーのアクセサリー,シルバー,,朝・外出前,六白金星・七赤金星,今日は「シルバーのアクセサリー」を取り入れると、気持ちの輪郭を整えやすい日です。
金,○,白いシャツ,ホワイト,,朝・外出前,六白金星・七赤金星,今日は「白いシャツ」を取り入れると、気持ちの輪郭を整えやすい日です。
金,○,みがいた鏡,シルバーグレー,,朝・外出前,六白金星・七赤金星,今日は「みがいた鏡」を取り入れると、気持ちの輪郭を整えやすい日です。
金,○,金属のペン,ガンメタル,,朝・外出前,六白金星・七赤金星,今日は「金属のペン」を取り入れると、気持ちの輪郭を整えやすい日です。
金,○,白いハンカチ,オフホワイト,,朝・外出前,六白金星・七赤金星,今日は「白いハンカチ」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,真鍮のしおり,ブラスゴールド,,朝・外出前,六白金星・七赤金星,今日は「真鍮のしおり」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,白い陶器のプレート,ホワイト,,朝・外出前,六白金星・七赤金星,今日は「白い陶器のプレート」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,シルバーのリング,シルバー,,朝・外出前,六白金星・七赤金星,今日は「シルバーのリング」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,ホワイトフローラルの香水,パールホワイト,,朝・外出前,六白金星・七赤金星,今日は「ホワイトフローラルの香水」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,ステンレスのボトル,ステンレスシルバー,,朝・外出前,六白金星・七赤金星,今日は「ステンレスのボトル」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,パールのピアス,パール,,朝・外出前,六白金星・七赤金星,今日は「パールのピアス」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,白いスニーカー,ホワイト,,朝・外出前,六白金星・七赤金星,今日は「白いスニーカー」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,金縁のアクセサリートレイ,ゴールド,,朝・外出前,六白金星・七赤金星,今日は「金縁のアクセサリートレイ」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,クロームのキーリング,クローム,,朝・外出前,六白金星・七赤金星,今日は「クロームのキーリング」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,白磁のカップ,白磁,,朝・外出前,六白金星・七赤金星,今日は「白磁のカップ」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,シルバーの腕時計,シルバー,,朝・外出前,六白金星・七赤金星,今日は「シルバーの腕時計」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,アイボリーのニット,アイボリー,,朝・外出前,六白金星・七赤金星,今日は「アイボリーのニット」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,ミニ鏡,シルバー,,朝・外出前,六白金星・七赤金星,今日は「ミニ鏡」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,銀のブックマーカー,シルバー,,朝・外出前,六白金星・七赤金星,今日は「銀のブックマーカー」を取り入れると、気持ちの輪郭を整えやすい日です。
金,,白い花を一輪,ピュアホワイト,,朝・外出前,六白金星・七赤金星,今日は「白い花を一輪」を取り入れると、気持ちの輪郭を整えやすい日です。
水,○,ガラスのコップ,クリア,,夜・休息,一白水星,今日は「ガラスのコップ」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,○,青い小物,ブルー,,夜・休息,一白水星,今日は「青い小物」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,○,ゆっくりのお風呂,水色,,夜・休息,一白水星,今日は「ゆっくりのお風呂」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,○,こまめな水分,アクアブルー,,夜・休息,一白水星,今日は「こまめな水分」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,○,紺のハンカチ,ネイビー,,夜・休息,一白水星,今日は「紺のハンカチ」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,ガラスのフラワーベース,クリアブルー,,夜・休息,一白水星,今日は「ガラスのフラワーベース」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,ラベンダーの入浴剤,ラベンダー,,夜・休息,一白水星,今日は「ラベンダーの入浴剤」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,ネイビーのソックス,ネイビー,,夜・休息,一白水星,今日は「ネイビーのソックス」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,化粧水,ペールブルー,,夜・休息,一白水星,今日は「化粧水」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,青いボールペン,ロイヤルブルー,,夜・休息,一白水星,今日は「青いボールペン」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,ガラスのピアス,クリア,,夜・休息,一白水星,今日は「ガラスのピアス」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,黒い手帳,ブラック,,夜・休息,一白水星,今日は「黒い手帳」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,ミネラルウォーター,アクア,,夜・休息,一白水星,今日は「ミネラルウォーター」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,水色のマグ,スカイブルー,,夜・休息,一白水星,今日は「水色のマグ」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,シルクの枕カバー,ミッドナイトブルー,,夜・休息,一白水星,今日は「シルクの枕カバー」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,アロマバスソルト,ラベンダーブルー,,夜・休息,一白水星,今日は「アロマバスソルト」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,紺のキャップ,ネイビー,,夜・休息,一白水星,今日は「紺のキャップ」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,ガラスの一輪挿し,クリア,,夜・休息,一白水星,今日は「ガラスの一輪挿し」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,海の写真集,マリンブルー,,夜・休息,一白水星,今日は「海の写真集」を取り入れると、頭と心に余白が戻りやすいかもしれません。
水,,青いブックカバー,インディゴ,,夜・休息,一白水星,今日は「青いブックカバー」を取り入れると、頭と心に余白が戻りやすいかもしれません。
