五行,無料(○),アイテム,似合う色,メモ,時間帯,九星タグ,表示文,カテゴリ,使う場面,季節タグ,重複回避タグ
木,○,多肉植物の寄せ植え,セージグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「多肉植物の寄せ植え」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|セージグリーン|多肉植物の寄せ植え
木,○,グリーンのニットベスト,カーキ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのニットベスト」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,秋・冬,木|身につけるもの|カーキ|グリーンのニットベスト
木,○,竹の歯ブラシ,生成り,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「竹の歯ブラシ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,夏,木|暮らしの道具|生成り|竹の歯ブラシ
木,○,抹茶ラテ,抹茶色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「抹茶ラテ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,飲食・休息,休憩・回復,通年,木|飲食・休息|抹茶色|抹茶ラテ
木,○,アロマディフューザー,オフホワイト,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「アロマディフューザー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,香り・灯り,気分の切り替え,通年,木|香り・灯り|オフホワイト|アロマディフューザー
木,○,モンステラ（観葉植物）,ディープグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「モンステラ（観葉植物）」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|ディープグリーン|モンステラ（観葉植物）
木,○,麻のエプロン,リネンベージュ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「麻のエプロン」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,夏,木|身につけるもの|リネンベージュ|麻のエプロン
木,○,木製のキーホルダー,チーク,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製のキーホルダー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,通年,木|日用品|チーク|木製のキーホルダー
木,○,ボタニカル柄のスカーフ,オリーブ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ボタニカル柄のスカーフ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|オリーブ|ボタニカル柄のスカーフ
木,○,新しい手帳,モスグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「新しい手帳」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|モスグリーン|新しい手帳
木,○,木製のペン,ウォルナット,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製のペン」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|ウォルナット|木製のペン
木,○,若草色の付箋,若草色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「若草色の付箋」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,春,木|日用品|若草色|若草色の付箋
木,○,緑のブックカバー,グリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「緑のブックカバー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|グリーン|緑のブックカバー
木,○,杉のコースター,ライトウッド,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「杉のコースター」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ライトウッド|杉のコースター
木,○,青じその薬味,青じそ色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「青じその薬味」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,通年,木|日用品|青じそ色|青じその薬味
木,○,バジルのパスタ,バジルグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「バジルのパスタ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,通年,木|日用品|バジルグリーン|バジルのパスタ
木,○,木のトレー,ライトウッド,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木のトレー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ライトウッド|木のトレー
木,○,グリーンのスマホ壁紙,エメラルドグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのスマホ壁紙」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,デジタル・仕事道具,机まわりを整える,通年,木|デジタル・仕事道具|エメラルドグリーン|グリーンのスマホ壁紙
木,○,森林の写真,フォレストグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「森林の写真」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,インテリア,視界を整える,通年,木|インテリア|フォレストグリーン|森林の写真
木,○,ハーブの鉢植え,ハーブグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ハーブの鉢植え」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,春,木|植物・花|ハーブグリーン|ハーブの鉢植え
木,,竹製のカトラリー,竹色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「竹製のカトラリー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,夏,木|日用品|竹色|竹製のカトラリー
木,,木製のヘアブラシ,ナチュラルブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製のヘアブラシ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,通年,木|日用品|ナチュラルブラウン|木製のヘアブラシ
木,,グリーンのマグカップ,リーフグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのマグカップ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,飲食・休息,休憩・回復,通年,木|飲食・休息|リーフグリーン|グリーンのマグカップ
木,,葉っぱ柄のノート,リーフグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「葉っぱ柄のノート」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|リーフグリーン|葉っぱ柄のノート
木,,緑茶,茶葉色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「緑茶」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,飲食・休息,休憩・回復,通年,木|飲食・休息|茶葉色|緑茶
木,,小さな花瓶のグリーン,オリーブグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「小さな花瓶のグリーン」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,春,木|植物・花|オリーブグリーン|小さな花瓶のグリーン
木,,ウッドビーズのブレスレット,ナチュラルブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ウッドビーズのブレスレット」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|ナチュラルブラウン|ウッドビーズのブレスレット
木,,草木染めのハンカチ,グリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「草木染めのハンカチ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|グリーン|草木染めのハンカチ
木,,木目のスマホケース,ウッドブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木目のスマホケース」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,デジタル・仕事道具,机まわりを整える,通年,木|デジタル・仕事道具|ウッドブラウン|木目のスマホケース
木,,ミントタブレット,ミントブルー,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ミントタブレット」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,夏,木|日用品|ミントブルー|ミントタブレット
木,,ハーブのサシェ,セージグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ハーブのサシェ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,春,木|日用品|セージグリーン|ハーブのサシェ
木,,オリーブ色の靴下,オリーブ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「オリーブ色の靴下」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|オリーブ|オリーブ色の靴下
木,,グリーンのクリアファイル,グリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのクリアファイル」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|グリーン|グリーンのクリアファイル
木,,木製のスマホスタンド,ライトウッド,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製のスマホスタンド」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ライトウッド|木製のスマホスタンド
木,,森林音のプレイリスト,深緑,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「森林音のプレイリスト」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,香り・灯り,気分の切り替え,通年,木|香り・灯り|深緑|森林音のプレイリスト
木,,ミントのアロマカード,若草色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ミントのアロマカード」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,夏,木|文具・学び|若草色|ミントのアロマカード
木,,並木道のポストカード,新緑,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「並木道のポストカード」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|新緑|並木道のポストカード
木,,小さな切り花,リーフグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「小さな切り花」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,春,木|植物・花|リーフグリーン|小さな切り花
木,,緑のボールペン,モスグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「緑のボールペン」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|モスグリーン|緑のボールペン
木,,木のしおり,チーク,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木のしおり」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|チーク|木のしおり
木,,青竹色のポーチ,青竹色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「青竹色のポーチ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,夏,木|身につけるもの|青竹色|青竹色のポーチ
木,,グリーンのランチョンマット,リーフグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのランチョンマット」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|リーフグリーン|グリーンのランチョンマット
木,,植物柄のマスキングテープ,ボタニカルグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「植物柄のマスキングテープ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|ボタニカルグリーン|植物柄のマスキングテープ
木,,ヒバの入浴剤,グリーンベージュ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ヒバの入浴剤」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,飲食・休息,休憩・回復,秋・冬,木|飲食・休息|グリーンベージュ|ヒバの入浴剤
木,,苔玉,モスグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「苔玉」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|モスグリーン|苔玉
木,,若葉色のカードケース,若葉色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「若葉色のカードケース」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|若葉色|若葉色のカードケース
木,,木製の小皿,ナチュラルブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製の小皿」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ナチュラルブラウン|木製の小皿
木,,レモングラスティー,レモングラス色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「レモングラスティー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,通年,木|日用品|レモングラス色|レモングラスティー
木,,緑のペーパーウェイト,ジェイドグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「緑のペーパーウェイト」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|ジェイドグリーン|緑のペーパーウェイト
木,,竹炭の消臭袋,チャコールグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「竹炭の消臭袋」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,夏,木|日用品|チャコールグリーン|竹炭の消臭袋
木,,葉脈柄の便箋,若草色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「葉脈柄の便箋」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|若草色|葉脈柄の便箋
木,,枝ものを一輪,ナチュラルブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「枝ものを一輪」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|ナチュラルブラウン|枝ものを一輪
木,,カーキのトートバッグ,カーキ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「カーキのトートバッグ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|カーキ|カーキのトートバッグ
木,,グリーンのタオル,ミントグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのタオル」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ミントグリーン|グリーンのタオル
木,,木製の時計,オーク,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製の時計」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|オーク|木製の時計
木,,ハーブソルト,ハーブグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ハーブソルト」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,春,木|日用品|ハーブグリーン|ハーブソルト
木,,豆苗を育てる小皿,若葉色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「豆苗を育てる小皿」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|若葉色|豆苗を育てる小皿
木,,山のポストカードポストカード,フォレストグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「山のポストカードポストカード」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|フォレストグリーン|山のポストカードポストカード
木,,緑のイヤホンケース,グリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「緑のイヤホンケース」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,デジタル・仕事道具,机まわりを整える,通年,木|デジタル・仕事道具|グリーン|緑のイヤホンケース
木,,ウッドクリップ,ナチュラルブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ウッドクリップ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|ナチュラルブラウン|ウッドクリップ
木,,グリーンのカーディガン,モスグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのカーディガン」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,通年,木|日用品|モスグリーン|グリーンのカーディガン
木,,庭園の写真集,深緑,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「庭園の写真集」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,インテリア,視界を整える,通年,木|インテリア|深緑|庭園の写真集
木,,ローズマリーの香り,ローズマリーグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ローズマリーの香り」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,春,木|日用品|ローズマリーグリーン|ローズマリーの香り
木,,木製の名刺入れ,ウォルナット,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製の名刺入れ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,通年,木|身につけるもの|ウォルナット|木製の名刺入れ
木,,グリーンのペンケース,リーフグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのペンケース」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|リーフグリーン|グリーンのペンケース
木,,小さな盆栽,ディープグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「小さな盆栽」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|ディープグリーン|小さな盆栽
木,,麻のブックカバー,リネンベージュ,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「麻のブックカバー」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,夏,木|文具・学び|リネンベージュ|麻のブックカバー
木,,青緑の水筒,ティールグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「青緑の水筒」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,日用品,日常に小さく取り入れる,通年,木|日用品|ティールグリーン|青緑の水筒
木,,森林浴のポストカード,フォレストグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「森林浴のポストカード」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|フォレストグリーン|森林浴のポストカード
木,,木の香りの石けん,ヒノキ色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木の香りの石けん」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ヒノキ色|木の香りの石けん
木,,グリーンのクッション,オリーブグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「グリーンのクッション」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|オリーブグリーン|グリーンのクッション
木,,ハーブ柄のエコバッグ,セージグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「ハーブ柄のエコバッグ」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,春,木|身につけるもの|セージグリーン|ハーブ柄のエコバッグ
木,,木製のマウスパッド,ウッドブラウン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製のマウスパッド」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,デジタル・仕事道具,机まわりを整える,通年,木|デジタル・仕事道具|ウッドブラウン|木製のマウスパッド
木,,緑の箸置き,ジェイドグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「緑の箸置き」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,木|暮らしの道具|ジェイドグリーン|緑の箸置き
木,,観葉植物の霧吹き,ミストグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「観葉植物の霧吹き」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|ミストグリーン|観葉植物の霧吹き
木,,植物図鑑,リーフグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「植物図鑑」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|リーフグリーン|植物図鑑
木,,若草色のストール,若草色,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「若草色のストール」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,春,木|身につけるもの|若草色|若草色のストール
木,,木目のノートPCスタンド,ライトウッド,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木目のノートPCスタンド」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|ライトウッド|木目のノートPCスタンド
木,,青緑のメモ帳,ティール,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「青緑のメモ帳」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|ティール|青緑のメモ帳
木,,小さなサボテン,セージグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「小さなサボテン」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,植物・花,部屋や机まわりを整える,通年,木|植物・花|セージグリーン|小さなサボテン
木,,緑の折りたたみ傘,フォレストグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「緑の折りたたみ傘」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,梅雨,木|身につけるもの|フォレストグリーン|緑の折りたたみ傘
木,,竹の扇子,ペールグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「竹の扇子」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,身につけるもの,外出前・身支度,夏,木|身につけるもの|ペールグリーン|竹の扇子
木,,木製のカードスタンド,オーク,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「木製のカードスタンド」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,文具・学び,考えごと・学び,通年,木|文具・学び|オーク|木製のカードスタンド
木,,青りんご,アップルグリーン,伸びる・育つ・呼吸を戻すヒント,朝・昼,三碧木星・四緑木星,今日は「青りんご」を取り入れると、気持ちの呼吸が戻りやすいかもしれません。,飲食・休息,休憩・回復,通年,木|飲食・休息|アップルグリーン|青りんご
